feature,anova_f_score
mfcc40_mfcc_c04_min,123.5862983572542
mfcc20_mfcc_c04_min,123.5862983572542
mfcc40_d2_c23_std,123.310136147644
mfcc40_d2_c37_std,123.13982084844405
mfcc13_mfcc_c05_min,121.19872870669971
mfcc20_mfcc_c05_min,121.19872870669971
mfcc40_mfcc_c05_min,121.19872870669971
mfcc40_mfcc_c20_std,120.39751921626349
mfcc40_d2_c33_std,119.27066588435747
mfcc40_d2_c27_std,119.09570104506501
mfcc40_d1_c04_min,118.22831866816412
mfcc13_d1_c04_min,118.22831866816412
mfcc20_d1_c04_min,118.22831866816412
mfcc40_d1_c21_std,117.41432961254971
mfcc40_d2_c24_std,116.11951323886316
mfcc40_d1_c22_std,115.00698932001355
mfcc40_mfcc_median,114.11641532199299
mfcc40_d1_c35_std,113.99663880878829
mfcc40_d1_c23_std,113.93084478860257
mfcc40_mfcc_c20_min,113.90473225979427
mfcc20_mfcc_c13_min,113.6363675749134
mfcc40_mfcc_c13_min,113.6363675749134
mfcc40_d2_c29_std,113.29414228479045
mfcc40_mfcc_c21_std,112.79439246607487
mfcc40_d2_c25_std,112.74455682138472
mfcc40_d2_c28_std,112.01917989820032
mfcc40_d2_c26_std,111.49195996078399
mfcc40_mfcc_c35_std,111.18029952717428
mfcc40_mfcc_c23_std,110.87654545715863
mfcc40_d1_c14_min,110.83607088056736
mfcc20_d1_c14_min,110.83607088056736
mfcc40_d2_c07_std,110.56910735848246
mfcc13_d2_c07_std,110.56910735848246
mfcc20_d2_c07_std,110.56910735848246
mfcc40_d2_max,110.43791513225179
mfcc40_d1_c36_std,110.40804952030784
mfcc13_d2_max,110.38413166895309
mfcc20_d2_max,110.38413166895309
mfcc40_d2_c20_max,109.79088832661729
mfcc40_d2_c38_std,109.35401465393304
mfcc40_d1_c00_min,109.3489089107093
mfcc20_d1_c00_min,109.3489089107093
mfcc13_d1_c00_min,109.3489089107093
mfcc20_d1_c16_min,107.50905306557313
mfcc40_d1_c16_min,107.50905306557313
mfcc40_d2_c17_max,107.00198131237806
mfcc20_d2_c17_max,107.00198131237806
mfcc40_mfcc_c36_std,106.82920437849958
mfcc20_d2_c15_max,106.1080514187007
mfcc40_d2_c15_max,106.1080514187007
mfcc13_mfcc_c09_min,105.99736394320486
mfcc20_mfcc_c09_min,105.99736394320486
mfcc40_mfcc_c09_min,105.99736394320486
mfcc40_d1_c37_std,105.51748637127142
mfcc20_d2_c14_max,105.30753047519308
mfcc40_d2_c14_max,105.30753047519308
mfcc40_d1_c18_min,105.28041872192676
mfcc20_d1_c18_min,105.28041872192676
mfcc40_d1_c24_std,104.89784627934337
mfcc40_d1_c15_max,104.71989681783853
mfcc20_d1_c15_max,104.71989681783853
mfcc20_d1_c18_max,104.60445434662505
