feature,anova_f_score
tfidf_02540,12.649299288109898
tfidf_08319,12.307113318977716
tfidf_06392,12.187481303647585
tfidf_02542,12.172325072580835
tfidf_00795,11.995359417411715
tfidf_05174,11.994085841095343
tfidf_00494,11.585440039779565
tfidf_01683,11.57781375847215
tfidf_07898,11.39411980280445
tfidf_08883,11.189438335922661
tfidf_04901,11.16790062146484
tfidf_05840,11.160768184363175
tfidf_06915,10.915023884521274
tfidf_02497,10.70827480127097
tfidf_01976,10.673164881680302
tfidf_02882,10.421073276035587
tfidf_05321,10.415694158360322
tfidf_06721,10.370015784711258
tfidf_01125,10.32744055611193
tfidf_01325,10.304394049130751
tfidf_00066,9.992753743291832
tfidf_03590,9.979587278301578
tfidf_02762,9.961398104752325
tfidf_00618,9.961066521782776
tfidf_03395,9.956342812372931
tfidf_06304,9.951699830394004
tfidf_07391,9.94581458848387
tfidf_06754,9.845151209195967
tfidf_07605,9.771044004685786
tfidf_02758,9.745353005967665
tfidf_03004,9.644028992636287
tfidf_06583,9.502471930622061
tfidf_07831,9.456704776802635
tfidf_06305,9.422217099858797
tfidf_01767,9.338801990273527
tfidf_08279,9.281960327176867
tfidf_04540,9.067860424554757
tfidf_03358,8.954490730754646
tfidf_00682,8.951850849484911
tfidf_00535,8.915295767938519
tfidf_05217,8.880417998389476
tfidf_02678,8.812121491347531
tfidf_03643,8.785682403209263
tfidf_03775,8.673664160842844
tfidf_06665,8.525335093945277
tfidf_03879,8.519676358969422
tfidf_03114,8.386315574593883
tfidf_07597,8.337496373906317
tfidf_05366,8.224847209365095
tfidf_03413,7.983457611713216
tfidf_08195,7.980767747222112
tfidf_04718,7.978447218153627
tfidf_01018,7.96777203232968
tfidf_08774,7.910978125093867
tfidf_03535,7.822607739044066
tfidf_09020,7.770655450152396
tfidf_04236,7.769837550566231
tfidf_02319,7.750513383776749
tfidf_09010,7.750513383776747
tfidf_06184,7.750513383776747
tfidf_06864,7.750513383776746
tfidf_06593,7.750513383776746
tfidf_00559,7.750513383776746
tfidf_05685,7.750513383776746
tfidf_06595,7.739438103105066
tfidf_00838,7.732275953239819
tfidf_02363,7.730874862586049
tfidf_05818,7.665294619272171
tfidf_01640,7.547512540848228
tfidf_07538,7.488288667375994
tfidf_05196,7.481286360744409
tfidf_08972,7.436229207571705
tfidf_01284,7.43016137641682
tfidf_08740,7.409497550411154
tfidf_03195,7.407575016825285
tfidf_08468,7.362733463973306
tfidf_05096,7.227417062061306
tfidf_02731,7.1560206913190125
tfidf_00543,7.140453509192797
tfidf_06626,7.132743374479852
tfidf_02928,7.126096133689315
tfidf_04961,7.062344335422028
tfidf_09038,6.96029425134692
tfidf_08233,6.927802530501328
tfidf_00610,6.883817231007179
tfidf_03774,6.879860112361283
tfidf_07352,6.8722380148659035
tfidf_07964,6.868453392746035
tfidf_06202,6.85011977225575
tfidf_04946,6.842293639815827
tfidf_09095,6.822665603968505
tfidf_01724,6.7962674105159335
tfidf_07827,6.7752040809056275
tfidf_01109,6.64868888405329
tfidf_01107,6.638555765728083
tfidf_07991,6.624025001136409
tfidf_02315,6.624025001136409
tfidf_08411,6.613328110441085
tfidf_04741,6.594713558498022
tfidf_02244,6.544326296043316
tfidf_01520,6.534312386758405
tfidf_06809,6.520376266875824
tfidf_06406,6.514177088739534
tfidf_05687,6.514078872329544
tfidf_08400,6.505399964674179
