2026-03-10 12:37:44 | INFO | stdout | INFO:     ::1:50936 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:44 | INFO | stdout | INFO:     ::1:50936 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:45 | INFO | stdout | INFO:     ::1:50950 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:45 | INFO | stdout | INFO:     ::1:50950 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:45 | INFO | stdout | INFO:     ::1:50950 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:46 | INFO | stdout | INFO:     ::1:50964 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:46 | INFO | stdout | INFO:     ::1:50964 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:46 | INFO | stdout | INFO:     ::1:50964 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:47 | INFO | stdout | INFO:     ::1:50978 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:47 | INFO | stdout | INFO:     ::1:50978 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:47 | INFO | stdout | INFO:     ::1:50978 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:48 | INFO | stdout | INFO:     ::1:50984 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:48 | INFO | stdout | INFO:     ::1:50984 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:48 | INFO | stdout | INFO:     ::1:50984 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:49 | INFO | stdout | INFO:     ::1:54916 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:49 | INFO | stdout | INFO:     ::1:54916 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:49 | INFO | stdout | INFO:     ::1:54916 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:50 | INFO | stdout | INFO:     ::1:54926 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:50 | INFO | stdout | INFO:     ::1:54926 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:50 | INFO | stdout | INFO:     ::1:54926 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:51 | INFO | stdout | INFO:     ::1:54932 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:51 | INFO | stdout | INFO:     ::1:54932 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:51 | INFO | stdout | INFO:     ::1:54932 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:52 | INFO | stdout | INFO:     ::1:54940 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:52 | INFO | stdout | INFO:     ::1:54940 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:52 | INFO | stdout | INFO:     ::1:54940 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:53 | INFO | stdout | INFO:     ::1:54954 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:53 | INFO | stdout | INFO:     ::1:54954 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:53 | INFO | stdout | INFO:     ::1:54954 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:54 | INFO | stdout | INFO:     ::1:54966 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:54 | INFO | stdout | INFO:     ::1:54966 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:54 | INFO | stdout | INFO:     ::1:54966 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:55 | INFO | stdout | INFO:     ::1:54980 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:55 | INFO | stdout | INFO:     ::1:54980 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:55 | INFO | stdout | INFO:     ::1:54980 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:56 | INFO | stdout | INFO:     ::1:54982 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:56 | INFO | stdout | INFO:     ::1:54982 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:56 | INFO | stdout | INFO:     ::1:54982 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:57 | INFO | stdout | INFO:     ::1:54986 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:57 | INFO | stdout | INFO:     ::1:54986 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:57 | INFO | stdout | INFO:     ::1:54986 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:59 | INFO | stdout | INFO:     ::1:42598 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:59 | INFO | stdout | INFO:     ::1:42598 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:59 | INFO | stdout | INFO:     ::1:42598 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:59 | INFO | stdout | INFO:     ::1:42602 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:59 | INFO | stdout | INFO:     ::1:42602 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:59 | INFO | stdout | INFO:     ::1:42602 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:38:01 | INFO | stdout | INFO:     ::1:42618 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:38:01 | INFO | stdout | INFO:     ::1:42618 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:38:01 | INFO | stdout | INFO:     ::1:42618 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:38:01 | INFO | stdout | INFO:     ::1:42624 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:38:01 | INFO | stdout | INFO:     ::1:42624 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:38:01 | INFO | stdout | INFO:     ::1:42624 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:38:03 | INFO | stdout | INFO:     ::1:42640 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:38:03 | INFO | stdout | INFO:     ::1:42640 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:38:03 | INFO | stdout | INFO:     ::1:42640 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:38:03 | INFO | stdout | INFO:     ::1:42650 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:38:03 | INFO | stdout | INFO:     ::1:42650 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:38:03 | INFO | stdout | INFO:     ::1:42650 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:38:05 | INFO | stdout | INFO:     ::1:42654 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:38:05 | INFO | stdout | INFO:     ::1:42654 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:38:05 | INFO | stdout | INFO:     ::1:42654 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:38:05 | INFO | stdout | INFO:     ::1:42658 - "POST /list_models HTTP/1.1" 200 OK
